loss,R1,MRR,P,epoch,step
0.21344530582427979,0.008007110582558452,0.0043069203350551985,0.05683909221018197,0,304
0.20773690938949585,0.008553063967386292,0.0045925170679211235,0.06215497853199755,1,609
0.20975716412067413,0.008422811235947632,0.004469271104304208,0.07299120834185238,2,914
0.209975004196167,0.010437596777642345,0.005610047762963592,0.07483132283786546,3,1219
0.2081087827682495,0.010178544022619862,0.005414837541204854,0.08464526681660192,4,1524
0.2080237865447998,0.011525759079846577,0.006215576587014136,0.07912492332856266,5,1829
0.20733153820037842,0.012041967230975933,0.006496917241333153,0.0821917808219178,6,2134
0.20826931297779083,0.01187363851481785,0.00641176384322173,0.08014720915968104,7,2439
0.20601166784763336,0.01183449130075773,0.006371425472406584,0.08300960948681252,8,2744
0.20781344175338745,0.013322533081726467,0.007242451020005596,0.08300960948681252,9,3049
