loss,R1,MRR,P,epoch,step
0.2131866216659546,0.013442685064058928,0.00728252788159312,0.08722316865417376,0,365
0.20958612859249115,0.012602265299450563,0.006706452778978107,0.10425894378194207,1,731
0.20635010302066803,0.016421950225494378,0.00885156276181003,0.11345826235093696,2,1097
0.2060578316450119,0.01800547471134452,0.009737893629418189,0.11925042589437819,3,1463
0.20700106024742126,0.019641018824907423,0.010655054861787278,0.12538330494037478,4,1829
0.2048170119524002,0.017729962913898417,0.009524032351959323,0.12810902896081772,5,2195
0.20409376919269562,0.01912576608343533,0.010325534102290816,0.12947189097103917,6,2561
0.20605306327342987,0.018169401415061265,0.009831551175526223,0.11959114139693357,7,2927
0.20728586614131927,0.01951900354625164,0.010543977468044946,0.131175468483816,8,3293
0.20494981110095978,0.019244923831996653,0.010403915675982898,0.12810902896081772,9,3659
0.20540736615657806,0.02023438771867406,0.011037862056807964,0.12129471890971039,10,4025
0.20895153284072876,0.01831407833356718,0.00985397196472635,0.12947189097103917,11,4391
0.2055881917476654,0.019227442510154603,0.010423985763072241,0.12367972742759796,12,4757
0.20695269107818604,0.018811792977913334,0.010153354094388214,0.12776831345826234,13,5123
