loss,R1,MRR,P,epoch,step
0.2123953402042389,0.00583650458363825,0.003085715999332417,0.05377223471682682,0,361
0.2085888832807541,0.009560917944304059,0.005169074026808539,0.06358617869556328,1,723
0.2076249122619629,0.009270948351451324,0.0049605186734670475,0.07074217951339194,2,1085
0.20869748294353485,0.010269666534545441,0.0055187694652476665,0.07380903700674708,3,1447
0.206562802195549,0.01035317149887772,0.0055330474893639185,0.08035166632590472,4,1809
0.20717282593250275,0.011462429963706344,0.006180008003211151,0.07892046616233898,5,2171
0.20733068883419037,0.011829268088314842,0.006366003594483448,0.08341852381925986,6,2533
0.20582960546016693,0.012622754315668639,0.0068266100550489935,0.08362298098548354,7,2895
0.20597146451473236,0.012520675227905384,0.006786400690247813,0.08076058065835208,8,3257
0.20689214766025543,0.01243085206586659,0.0067171429523457515,0.08321406665303618,9,3619
0.20598174631595612,0.01196058777347116,0.0064470614105287035,0.08260069515436516,10,3981
0.2052048146724701,0.012910661079985857,0.007008531860802287,0.08178286648947046,11,4343
0.2051052451133728,0.014686259576765911,0.008007296126868584,0.08852995297485176,12,4705
0.2049112617969513,0.013760600163215463,0.007474967262156156,0.086485381312615,13,5067
0.2051379680633545,0.011868725118683985,0.006386477958790565,0.08382743815170722,14,5429
0.20509609580039978,0.013040736782291248,0.007068870086853533,0.0840318953179309,15,5791
0.20709481835365295,0.013102817792253236,0.0070995810819101945,0.0848497239828256,16,6153
0.20780223608016968,0.013814878014112731,0.007529382258785212,0.08362298098548354,17,6515
0.20760439336299896,0.012572404906712515,0.006819735077314189,0.08035166632590472,18,6877
0.20830097794532776,0.012707655727350262,0.006855080583373689,0.08689429564506236,19,7239
