loss,R1,MRR,P,epoch,step
0.21038241684436798,0.013226743022386706,0.00720062302297194,0.08109028960817717,0,365
0.2084997445344925,0.012443138382152613,0.0066523263239308275,0.09608177172061329,1,731
0.20755381882190704,0.014031437103700766,0.007523654898774439,0.10391822827938671,2,1097
0.20642684400081635,0.016669251798043114,0.008995428656814427,0.11345826235093696,3,1463
0.20658308267593384,0.015763771506005,0.008439710457757729,0.11925042589437819,4,1829
0.2031985968351364,0.016588715486137693,0.00890134306905793,0.12163543441226576,5,2195
0.2042692005634308,0.016092914519534287,0.008603097768493492,0.12436115843270869,6,2561
0.20576779544353485,0.01751585442182981,0.009447848753191438,0.11993185689948893,7,2927
0.20642037689685822,0.018400091705057936,0.009928557381239302,0.12538330494037478,8,3293
0.204306498169899,0.017772460287914394,0.009556221052750266,0.12674616695059626,9,3659
0.20488782227039337,0.019339104913947785,0.010482369615808819,0.12470187393526405,10,4025
0.20754261314868927,0.01900855720925601,0.010259387314813755,0.12913117546848382,11,4391
0.2047608196735382,0.020208154494675452,0.010966739813883592,0.1284497444633731,12,4757
0.2070588618516922,0.0195478680721301,0.010554255178149806,0.1321976149914821,13,5123
0.2058764547109604,0.020621339433385486,0.011251229473030313,0.12333901192504258,14,5489
0.20521138608455658,0.019212799896364093,0.010417802397843606,0.12333901192504258,15,5855
0.20738205313682556,0.020743375902695795,0.011304238760131806,0.12572402044293016,16,6221
0.2068300098180771,0.02104561620965007,0.011451047501027762,0.12981260647359455,17,6587
0.20575851202011108,0.021030675764314128,0.011466654599607475,0.12674616695059626,18,6953
0.2072797268629074,0.021078874542078217,0.011498128555788736,0.12640545144804088,19,7319
0.20612354576587677,0.019650923034681893,0.010632336360740327,0.12947189097103917,20,7685
0.20740169286727905,0.02114729321992107,0.011530413594258148,0.127427597955707,21,8051
0.20694145560264587,0.02178444609242225,0.01193466999127793,0.12470187393526405,22,8417
0.20810340344905853,0.021347779915910917,0.011646881868490326,0.12776831345826234,23,8783
0.20560313761234283,0.022021818574167094,0.01209024847719831,0.12333901192504258,24,9149
0.20584292709827423,0.023104067924668282,0.012731438976948815,0.12470187393526405,25,9515
0.2090899795293808,0.02319534874799855,0.012794105066934354,0.12402044293015332,26,9881
